Source,Target
Alexandr Romanov,Marcos Rogerio de Lima
Claudia Gadelha,Yan Xiaonan
Darren Elkins,Eduardo Garagorri
Giga Chikadze,Jamey Simmons
Raoni Barcelos,Khalid Taha
Trevin Giles,Bevon Lewis
Gustavo Lopez,Anthony Birchak
Max Griffin,Ramiz Brahimaj
Chris Gruetzemacher,Alexander Hernandez
Adrian Yanez,Victor Rodriguez
Maurice Greene,Greg Hardy
Sean Strickland,Jack Marshman
Bobby Green,Thiago Moises
Kevin Holland,Charlie Ontiveros
Uriah Hall,Anderson Silva
Bryce Mitchell,Andre Fili
Dustin Jacoby,Justin Ledet
Cole Williams,Jason Witt
Miles Johns,Kevin Natividad
Jacob Malkoun,Phil Hawes
Alexander Volkov,Walt Harris
Magomed Ankalaev,Ion Cutelaba
Stefan Struve,Tai Tuivasa
Robert Whittaker,Jared Cannonier
Lauren Murphy,Liliya Shakirova
Khabib Nurmagomedov,Justin Gaethje
Nathaniel Wood,Casey Kenney
Joel Alvarez,Alexander Yakovlev
Liana Jojua,Miranda Maverick
Da-Un Jung,Sam Alvey
Alex Oliveira,Shavkat Rakhmonov
Katlyn Chookagian,Jessica Andrade
Thomas Almeida,Jonathan Martinez
Jimmy Crute,Modestas Bukauskas
Mateusz Gamrot,Guram Kutateladze
Junyong Park,John Phillips
Gillian Robertson,Poliana Botelho
Claudio Silva,James Krause
Brian Ortega,Chan Sung Jung
Gadzhimurad Antigulov,Maxim Grishin
Said Nurmagomedov,Mark Striegl
Jamie Mullarkey,Fares Ziam
Marlon Moraes,Cory Sandhagen
Tom Breese,KB Bhullar
Chris Daukaus,Rodrigo Nascimento
Markus Perez,Dricus Du Plessis
Ben Rothwell,Marcin Tybura
Youssef Zalal,Ilia Topuria
Tom Aspinall,Alan Baudot
Edson Barboza,Makwan Amirkhani
Impa Kasanganay,Joaquin Buckley
Giga Chikadze,Omar Morales
Ali AlQaisi,Tony Kelley
Tracy Cortez,Stephanie Egger
Bruno Silva,Tagir Ulanbekov
Carlos Condit,Court McGee
Dequan Townsend,Dusko Todorovic
Charles Jourdain,Josh Culibao
Germaine de Randamie,Julianna Pena
Kyler Phillips,Cameron Else
Holly Holm,Irene Aldana
Yorgan De Castro,Carlos Felipe
Jordan Williams,Nassourdine Imavov
Loma Lookboonmee,Jinh Yu Frey
Casey Kenney,Heili Alateng
Luigi Vendramini,Jessin Ayari
Ketlen Vieira,Sijara Eubanks
Israel Adesanya,Paulo Costa
Kai Kara-France,Brandon Royval
Shane Young,Ludovit Klein
Diego Sanchez,Jake Matthews
Brad Riddell,Alex Da Silva
Dominick Reyes,Jan Blachowicz
Hakeem Dawodu,Zubaira Tukhugov
William Knight,Aleksa Camur
Khadis Ibragimov,Danilo Marques
Juan Espino,Jeff Hughes
Johnny Walker,Ryan Spann
Mirsad Bektic,Damon Jackson
Colby Covington,Tyron Woodley
Mackenzie Dern,Randa Markos
Jordan Espinosa,David Dvorak
Kevin Holland,Darren Stewart
Khamzat Chimaev,Gerald Meerschaert
Donald Cerrone,Niko Price
Jessica-Rose Clark,Sarah Alpar
Darrick Minner,TJ Laramie
Journey Newson,Randy Costa
Mayra Bueno Silva,Mara Romero Borella
Andre Ewell,Irwin Rivera
Tyson Nam,Jerome Rivera
Bobby Green,Alan Patrick
Roosevelt Roberts,Kevin Croom
Billy Quarantillo,Kyle Nelson
Julia Avila,Sijara Eubanks
Michelle Waterson,Angela Hill
Roxanne Modafferi,Andrea Lee
Ed Herman,Mike Rodriguez
Ottman Azaitar,Khama Worthy
Alexandr Romanov,Roque Martinez
Brok Weaver,Jalin Turner
Bryan Barberena,Anthony Ivy
Sabina Mazo,Justine Kish
Ovince Saint Preux,Alonzo Menifield
Brian Kelleher,Ray Rodriguez
Michel Pereira,Zelim Imadaev
Viviane Araujo,Montana De La Rosa
Andre Muniz,Bartosz Fabinski
Cole Smith,Hunter Azure
Alistair Overeem,Augusto Sakai
Alessio Di Chirico,Zak Cummings
Anthony Smith,Aleksandar Rakic
Ricardo Lamas,Bill Algeo
Robbie Lawler,Neil Magny
Ji Yeon Kim,Alexa Grasso
Alex Caceres,Austin Springer
Maki Pitolo,Impa Kasanganay
Sean Brady,Christian Aguilera
Mallory Martin,Hannah Cifers
Polyana Viana,Emily Whitmire
Ike Villanueva,Jordan Wright
Carlton Minus,Matthew Semelsberger
Daniel Rodriguez,Dwight Grant
Marcin Prachnio,Mike Rodriguez
Amanda Lemos,Inoue Mizuki
Mariya Agapova,Shana Dobson
Austin Hubbard,Joe Solecki
Pedro Munhoz,Frankie Edgar
Timur Valiev,Trevin Jones
Junior Dos Santos,Jairzinho Rozenstruik
Herbert Burns,Daniel Pineda
Felice Herrig,Virna Jandiroba
Sean O'Malley,Marlon Vera
John Dodson,Merab Dvalishvili
Stipe Miocic,Daniel Cormier
TJ Brown,Danny Chavez
Jim Miller,Vinc Pichel
Chris Daukaus,Parker Porter
Kai Kamaka,Tony Kelley
Ashley Yoder,Livinha Souza
Tim Means,Laureano Staropoli
Kevin Holland,Joaquin Buckley
Nasrat Haqparast,Alexander Munoz
Derrick Lewis,Aleksei Oleinik
Yana Kunitskaya,Julija Stoliarenko
Beneil Dariush,Scott Holtzman
Maki Pitolo,Darren Stewart
Omari Akhmedov,Chris Weidman
Youssef Zalal,Peter Barrett
Irwin Rivera,Ali AlQaisi
Gavin Tucker,Justin Jaynes
Andrew Sanchez,Wellington Turman
Joanne Calderwood,Jennifer Maia
Johnny Munoz,Nate Maness
Frankie Saenz,Jonathan Martinez
Jamall Emmers,Vince Cachero
Vicente Luque,Randy Brown
Derek Brunson,Edmen Shahbazyan
Chris Gutierrez,Cody Durden
Lando Vannata,Bobby Green
Alex Oliveira,Peter Sobotta
Robert Whittaker,Darren Till
Mauricio Rua,Rogerio Nogueira
